L1,L2,L3,L4
0.73034,0.54315,0.27915,0.74860
0.69866,0.54473,0.27208,0.74605
0.71911,0.56130,0.26322,0.76173
0.82719,0.60842,0.24872,0.82832
0.79502,0.56142,0.23748,0.88555
0.73594,0.47628,0.23278,0.80914
0.64735,0.38635,0.62718,0.42810
0.56048,0.33937,0.61144,0.36460
0.51670,0.31431,0.58201,0.33371
0.48260,0.30424,0.57655,0.33471
0.46237,0.29085,0.56216,0.36011
0.46717,0.29076,0.53542,0.38949
0.48505,0.29426,0.57559,0.54444
0.46726,0.31403,0.59209,0.59698
0.53061,0.37748,0.73203,0.67098
0.59839,0.41064,0.81511,0.72320
0.64920,0.42878,0.86803,0.74929
0.68444,0.44976,0.92899,0.76412
0.71951,0.42947,0.91271,0.79392
0.73919,0.43792,0.93596,0.78403
0.74648,0.44148,0.96654,0.77838
0.76318,0.43783,0.95594,0.76730
0.76283,0.44135,0.87511,0.77524
0.74144,0.42421,0.27615,0.76032
0.70741,0.43036,0.27327,0.75439
0.68596,0.42907,0.28501,0.74363
0.70321,0.43318,0.25561,0.76036
0.80161,0.48473,0.21372,0.83595
0.77303,0.51084,0.22929,0.86091
0.72446,0.46395,0.21872,0.50885
0.65422,0.37933,0.25500,0.44207
0.57625,0.33892,0.29180,0.37695
0.52785,0.30866,0.30461,0.35110
0.49331,0.30108,0.30001,0.34881
0.47569,0.28855,0.29414,0.37353
0.46938,0.29514,0.28426,0.40062
0.46573,0.28967,0.27342,0.43043
0.41474,0.28885,0.26722,0.44721
0.44026,0.33347,0.28940,0.46737
0.50970,0.37207,0.36199,0.49658
0.57453,0.39385,0.32481,0.50619
0.61476,0.41943,0.38471,0.51560
0.63941,0.42278,0.39329,0.50587
0.66455,0.42470,0.37600,0.50029
0.66647,0.41658,0.36043,0.49939
0.66056,0.41276,0.33898,0.51456
0.64928,0.41811,0.29173,0.54857
0.64021,0.41772,0.29800,0.56198
0.63178,0.42314,0.28677,0.56076
0.62708,0.42263,0.25441,0.52968
0.65695,0.42699,0.22141,0.50820
0.76368,0.47794,0.21382,0.51600
0.74011,0.51673,0.22736,0.55437
0.69410,0.46674,0.23450,0.50777
0.630019424,0.392981984,0.279390691,0.734061132
0.559808426,0.342758594,0.53150795,0.652039637
0.51713388,0.31424299,0.497265856,0.597240753
0.48429061,0.302198815,0.489161259,0.561377638
0.46361125,0.294957278,0.46696264,0.537671221
0.460304894,0.294665603,0.46395672,0.522517844
0.448071142,0.280426626,0.436806606,0.511714158
0.388862612,0.278007999,0.449443912,0.501388362
0.414482746,0.32787145,0.530843562,0.532200379
0.458312124,0.365901449,0.612986295,0.596587125
0.511140547,0.388496947,0.627190324,0.637310215
