"item","Demanda","Valor","addValue"
"2017-01-09 05","25519.92","0.735468",""
"2017-01-09 06","26196.232","0.804233",""
"2017-01-09 07","28367.034","0.977593",""
"2017-01-09 08","31654.58","1.09089",""
"2017-01-09 09","39581.988","1.462472",""
"2017-01-09 10","45026.963","1.663652",""
"2017-01-09 11","47835.39","1.767417",""
"2017-01-09 12","50567.08","1.868348",""
"2017-01-09 13","50706.833","1.873511",""
"2017-01-09 14","52018.228","1.921964",""
"2017-01-09 15","54169.905","2.001464",""
"2017-01-09 16","55153.254","2.037797",""
"2017-01-09 17","53629.415","1.981494",""
"2017-01-09 18","49412.948","1.825705",""
"2017-01-09 19","45633.984","1.683014",""
"2017-01-09 20","43381.303","1.599934",""
"2017-01-09 21","43416.137","1.601219",""
"2017-01-09 22","43947.255","1.620806",""
"2017-01-09 23","42149.631","1.554509",""
"2017-01-09 24","39259.469","1.447918",""
"2017-01-10 01","36078.501","1.311212",""
"2017-01-10 02","32776.531","1.142766",""
"2017-01-10 03","30422.87","0.985087",""
"2017-01-10 04","28548.614","0.811246",""
"2017-01-10 05","28442.457","0.850265",""
"2017-01-10 06","28964.305","0.99234",""
"2017-01-10 07","30982.375","1.073968",""
"2017-01-10 08","34157.914","1.241411",""
"2017-01-10 09","41209.583","1.544755",""
"2017-01-10 10","46556.228","1.745175",""
"2017-01-10 11","50217.769","1.882429",""
"2017-01-10 12","52571.408","1.970656",""
"2017-01-10 13","53499.828","2.005459",""
"2017-01-10 14","54511.318","2.043374",""
"2017-01-10 15","56920.762","2.133693",""
"2017-01-10 16","57104.135","2.140567",""
"2017-01-10 17","56644.791","2.123348",""
"2017-01-10 18","50911.433","1.908432",""
"2017-01-10 19","46470.106","1.732582",""
"2017-01-10 20","43166.841","1.609424",""
"2017-01-10 21","42664.051","1.590678",""
"2017-01-10 22","43601.201","1.625618",""
"2017-01-10 23","42140.351","1.571152",""
"2017-01-10 24","40160.737","1.497345",""
"2017-01-11 01","36158.845","1.314132",""
"2017-01-11 02","32969.784","1.147289",""
"2017-01-11 03","30602.202","1.040232",""
"2017-01-11 04","29192.355","0.992308",""
"2017-01-11 05","28832.669","0.958776",""
"2017-01-11 06","29374.379","0.982709",""
"2017-01-11 07","31149.229","1.065104",""
"2017-01-11 08","33809.954","1.217409",""
"2017-01-11 09","41290.823","1.5478",""
"2017-01-11 10","47633.963","1.785574",""
"2017-01-11 11","51480.982","1.929781",""
"2017-01-11 12","54741.22","2.051992",""
"2017-01-11 13","55208.045","2.069491",""
"2017-01-11 14","55088.064","2.064994",""
"2017-01-11 15","57472.482","2.154375",""
"2017-01-11 16","57814.702","2.167203",""
"2017-01-11 17","56453.939","2.116194",""
"2017-01-11 18","52369.349","1.963082",""
"2017-01-11 19","48333.335","1.80205",""
"2017-01-11 20","44679.121","2.386156",""
"2017-01-11 21","44051.692","2.758072",""
"2017-01-11 22","44392.835","1.655133",""
"2017-01-11 23","42984.895","1.60264",""
"2017-01-11 24","41067.07","1.531136",""
"2017-01-12 01","37614.477","1.369562",""
"2017-01-12 02","34114.321","1.242119",""
"2017-01-12 03","32043.386","1.145189",""
"2017-01-12 04","30411.573","1.078698",""
"2017-01-12 05","29918.802","1.06122",""
"2017-01-12 06","30131.505","1.074836",""
"2017-01-12 07","31797.474","1.157761",""
"2017-01-12 08","34737.5","1.355819",""
"2017-01-12 09","41930.183","1.616835",""
"2017-01-12 10","47866.267","1.845731",""
"2017-01-12 11","52058.222","2.007374",""
"2017-01-12 12","54047.538","2.156698",""
"2017-01-12 13","55260.571","2.865891",""
"2017-01-12 14","55605.906","2.883801",""
"2017-01-12 15","57327.908","2.973107",""
"2017-01-12 16","58043.449","3.010216",""
"2017-01-12 17","56852.7","2.948462",""
"2017-01-12 18","52304.298","2.712575",""
"2017-01-12 19","48052.05","2.482363",""
"2017-01-12 20","44891.077","2.319067",""
"2017-01-12 21","43743.003","2.259758",""
"2017-01-12 22","44415.153","2.294482",""
"2017-01-12 23","43172.848","2.230305",""
"2017-01-12 24","41602.473","2.07931",""
"2017-01-13 01","38533.162","1.322587",""
"2017-01-13 02","35551.8","1.220257",""
"2017-01-13 03","32009.52","1.098675",""
"2017-01-13 04","28564.255","0.980421",""
"2017-01-13 05","27890.339","0.95729",""
"2017-01-13 06","28353.848","0.973199",""
"2017-01-13 07","31936.998","1.096185",""
"2017-01-13 08","35235.669","1.209407",""
"2017-01-13 09","43197.728","1.549427",""
"2017-01-13 10","49827.061","1.78721",""
"2017-01-13 11","53525.235","1.919857",""
"2017-01-13 12","56106.382","2.012438",""
"2017-01-13 13","56966.436","2.043286",""
"2017-01-13 14","55975.892","2.007757",""
"2017-01-13 15","57006.752","2.044732",""
"2017-01-13 16","56085.781","2.011699",""
"2017-01-13 17","53671.919","1.925118",""
"2017-01-13 18","49511.861","1.775904",""
"2017-01-13 19","45783.692","1.639106",""
"2017-01-13 20","43680.637","1.563814",""
"2017-01-13 21","42917.043","1.536476",""
"2017-01-13 22","43396.652","1.553647",""
"2017-01-13 23","42197.632","1.510721",""
"2017-01-13 24","40759.21","1.459224",""
"2017-01-14 01","37938.229","1.294522",""
"2017-01-14 02","35359.174","1.20177",""
"2017-01-14 03","32751.437","1.038344",""
"2017-01-14 04","30539.614","0.865655",""
"2017-01-14 05","29552.565","0.837677",""
"2017-01-14 06","29667.21","0.840927",""
"2017-01-14 07","29448.425","0.834725",""
"2017-01-14 08","29374.272","0.943114",""
"2017-01-14 09","33110.347","1.16537",""
"2017-01-14 10","37720.078","1.327617",""
"2017-01-14 11","41019.603","1.443749",""
"2017-01-14 12","43349.918","1.525768",""
"2017-01-14 13","43241.588","1.521955",""
"2017-01-14 14","43267.414","1.522864",""
"2017-01-14 15","42725.561","1.503793",""
"2017-01-14 16","42046.561","1.479894",""
"2017-01-14 17","40531.149","1.426557",""
"2017-01-14 18","39427.494","1.387712",""
"2017-01-14 19","38727.846","1.36829",""
"2017-01-14 20","37931.174","1.340142",""
"2017-01-14 21","37608.787","1.328752",""
"2017-01-14 22","38381.983","1.35607",""
"2017-01-14 23","37128.321","1.311777",""
"2017-01-14 24","34211.889","1.208736",""
"2017-01-15 01","31808.86","1.068798",""
"2017-01-15 02","29209.153","0.813694",""
"2017-01-15 03","27502.902","0.550111",""
"2017-01-15 04","25953.13","0.519113",""
"2017-01-15 05","25890.162","0.517853",""
"2017-01-15 06","25684.557","0.513741",""
"2017-01-15 07","25181.961","0.503688",""
"2017-01-15 08","23787.28","0.155457",""
"2017-01-15 09","25361.24","0.408497",""
"2017-01-15 10","28116.824","0.894629",""
"2017-01-15 11","31588.413","1.011344",""
"2017-01-15 12","34549.846","1.131247",""
"2017-01-15 13","35501.228","1.164741",""
"2017-01-15 14","36719.426","1.204708",""
"2017-01-15 15","37261.587","1.215116",""
"2017-01-15 16","36444.265","1.16681",""
"2017-01-15 17","36214.669","1.15946",""
"2017-01-15 18","36036.998","1.156151",""
"2017-01-15 19","35262.484","1.145269",""
"2017-01-15 20","35140.464","1.120429",""
"2017-01-15 21","35306.058","1.146684",""
"2017-01-15 22","37142.201","1.360787",""
"2017-01-15 23","36717.028","1.34521",""
"2017-01-15 24","34878.329","1.277845",""
"2017-01-16 01","32618.018","1.087373",""
"2017-01-16 02","30075.859","0.810043",""
"2017-01-16 03","27635.215","0.695052",""
"2017-01-16 04","26270.076","0.660717",""
"2017-01-16 05","25987.763","0.655332",""
"2017-01-16 06","26620.31","0.789021",""
"2017-01-16 07","28538.28","0.911806",""
"2017-01-16 08","32185.256","1.121812",""
"2017-01-16 09","39922.741","1.494283",""
"2017-01-16 10","45433.407","1.700543",""
"2017-01-16 11","50021.581","1.872276",""
"2017-01-16 12","53387.419","1.998258",""
"2017-01-16 13","53751.393","2.011881",""
"2017-01-16 14","55220.073","2.066852",""
"2017-01-16 15","57071.159","2.136138",""
"2017-01-16 16","56995.041","2.133289",""
"2017-01-16 17","55574.256","2.08011",""
"2017-01-16 18","51843.173","1.940457",""
"2017-01-16 19","47112.86","1.763404",""
"2017-01-16 20","43914.765","1.643702",""
"2017-01-16 21","43398.566","1.624381",""
"2017-01-16 22","44041.467","1.648444",""
"2017-01-16 23","42490.001","1.590374",""
"2017-01-16 24","40733.395","1.524625",""
"2017-01-17 01","37464.388","1.330547",""
"2017-01-17 02","34434.407","1.222938",""
"2017-01-17 03","31463.62","1.104969",""
"2017-01-17 04","30125.449","0.990359",""
"2017-01-17 05","29986.755","1.064979",""
"2017-01-17 06","30104.105","1.069147",""
"2017-01-17 07","31483.972","1.118153",""
"2017-01-17 08","34323.717","1.219007",""
"2017-01-17 09","41217.759","1.534592",""
"2017-01-17 10","47477.463","1.76765",""
"2017-01-17 11","51559.661","1.919635",""
"2017-01-17 12","54037.796","2.011899",""
"2017-01-17 13","55265.75","2.057617",""
"2017-01-17 14","56063.263","2.08731",""
"2017-01-17 15","57729.398","2.149342",""
"2017-01-17 16","58023.398","2.160289",""
"2017-01-17 17","57108.822","2.126238",""
"2017-01-17 18","53016.437","1.973872",""
"2017-01-17 19","48529.001","1.797189",""
"2017-01-17 20","45662.856","1.691046",""
"2017-01-17 21","45220.664","1.67467",""
"2017-01-17 22","45798.808","1.696081",""
"2017-01-17 23","44330.41","1.641701",""
"2017-01-17 24","42046.898","1.551584",""
"2017-01-18 01","39321.874","1.344601",""
"2017-01-18 02","36082.935","1.059964",""
"2017-01-18 03","33288","0.916332",""
"2017-01-18 04","31688.177","0.830457",""
"2017-01-18 05","30773.929","0.788214",""
"2017-01-18 06","30676.329","0.755338",""
"2017-01-18 07","33002.524","0.904118",""
"2017-01-18 08","35472.268","1.079492",""
"2017-01-18 09","42493.417","1.422195",""
"2017-01-18 10","49220.192","1.796793",""
"2017-01-18 11","52869.198","1.961411",""
"2017-01-18 12","55663.369","2.065073",""
"2017-01-18 13","56498.075","2.09604",""
"2017-01-18 14","57321.911","2.126603",""
"2017-01-18 15","58973.016","2.187859",""
"2017-01-18 16","58936.888","2.186518",""
"2017-01-18 17","57521.102","2.133993",""
"2017-01-18 18","53690.401","1.991877",""
"2017-01-18 19","48799.353","1.807201",""
"2017-01-18 20","45672.991","1.691421",""
"2017-01-18 21","44754.187","1.657395",""
"2017-01-18 22","45222.87","1.674752",""
"2017-01-18 23","43850.571","1.623931",""
"2017-01-18 24","41600.651","1.540609",""
"2017-01-19 01","38419.047","1.288368",""
"2017-01-19 02","35510.384","1.127535",""
"2017-01-19 03","32789.563","0.945903",""
"2017-01-19 04","31147.639","0.892369",""
"2017-01-19 05","30501.334","0.815461",""
"2017-01-19 06","31021.456","0.935853",""
"2017-01-19 07","32599.886","1.04588",""
"2017-01-19 08","34781.777","1.11588",""
"2017-01-19 09","42622.936","1.488431",""
"2017-01-19 10","49010.895","1.81827",""
"2017-01-19 11","52544.33","1.949358",""
"2017-01-19 12","54351.533","2.016405",""
"2017-01-19 13","55629.835","2.063828",""
"2017-01-19 14","56223.974","2.08587",""
"2017-01-19 15","58274.279","2.161935",""
"2017-01-19 16","58702.408","2.177819",""
"2017-01-19 17","57675.16","2.139709",""
"2017-01-19 18","52819.846","1.95958",""
"2017-01-19 19","48773.622","1.803028",""
"2017-01-19 20","45600.923","1.685742",""
"2017-01-19 21","44565.175","1.647453",""
"2017-01-19 22","45744.155","1.691037",""
"2017-01-19 23","43925.606","1.623811",""
"2017-01-19 24","41995.221","1.55245",""
"2017-01-20 01","39017.454","1.246886",""
"2017-01-20 02","35782.415","1.143503",""
"2017-01-20 03","32987.956","1.054201",""
"2017-01-20 04","31463.338","1.005478",""
"2017-01-20 05","30851.199","0.985916",""
"2017-01-20 06","30899.408","0.987457",""
"2017-01-20 07","33301.922","1.064234",""
"2017-01-20 08","35913.254","1.147685",""
"2017-01-20 09","43562.45","1.449539",""
"2017-01-20 10","51086.028","1.709983",""
"2017-01-20 11","54133.938","1.940415",""
"2017-01-20 12","57157.907","2.048808",""
"2017-01-20 13","56838.762","2.037369",""
"2017-01-20 14","56907.085","2.039817",""
"2017-01-20 15","57908.305","2.075706",""
"2017-01-20 16","56587.911","2.028377",""
"2017-01-20 17","53878.772","1.931268",""
"2017-01-20 18","51237.261","1.823081",""
"2017-01-20 19","49161.603","1.63261",""
"2017-01-20 20","47111.071","1.564514",""
"2017-01-20 21","46839.063","1.555481",""
"2017-01-20 22","47837.257","1.654824",""
"2017-01-20 23","46122.221","1.641081",""
"2017-01-20 24","44239.433","1.57409",""
"2017-01-21 01","41454.642","1.469636",""
"2017-01-21 02","38512.303","1.365326",""
"2017-01-21 03","35805.164","1.151163",""
"2017-01-21 04","33471.783","1.076143",""
"2017-01-21 05","32142.245","1.029154",""
"2017-01-21 06","31807.599","1.014239",""
"2017-01-21 07","32334.81","0.994761",""
"2017-01-21 08","30872.644","0.900863",""
"2017-01-21 09","34209.706","1.120195",""
"2017-01-21 10","38404.759","1.257561",""
"2017-01-21 11","41240.208","1.350408",""
"2017-01-21 12","43131.146","1.412326",""
"2017-01-21 13","43896.721","1.437395",""
"2017-01-21 14","44352.604","1.452323",""
"2017-01-21 15","44077.602","1.443318",""
"2017-01-21 16","43372.357","1.420225",""
"2017-01-21 17","42177.485","1.381098",""
"2017-01-21 18","41435.124","1.35679",""
"2017-01-21 19","40760.337","1.342767",""
"2017-01-21 20","40348.632","1.329204",""
"2017-01-21 21","40245.696","1.32847",""
"2017-01-21 22","40896.196","1.468738",""
"2017-01-21 23","38945.661","1.398687",""
"2017-01-21 24","36484.693","1.310303",""
"2017-01-22 01","34628.488","1.10075",""
"2017-01-22 02","32150.806","1.021991",""
"2017-01-22 03","29495.95","0.9376",""
"2017-01-22 04","27749.474","0.882084",""
"2017-01-22 05","27012.435","0.79096",""
"2017-01-22 06","26860.923","0.575722",""
"2017-01-22 07","26522.15","0.271112",""
"2017-01-22 08","24826.995","0.040933",""
"2017-01-22 09","26875.947","0.198513",""
"2017-01-22 10","29836.985","0.77725",""
"2017-01-22 11","32970.216","0.895833",""
"2017-01-22 12","35599.889","1.110499",""
"2017-01-22 13","36826.823","1.180344",""
"2017-01-22 14","37790.5","1.211231",""
"2017-01-22 15","38645.456","1.238634",""
"2017-01-22 16","38728.845","1.241306",""
"2017-01-22 17","38148.36","1.222701",""
"2017-01-22 18","37729.551","1.209278",""
"2017-01-22 19","37365.765","1.20994",""
"2017-01-22 20","37557.244","1.21614",""
"2017-01-22 21","38114.142","1.234173",""
"2017-01-22 22","39438.518","1.277058",""
"2017-01-22 23","38160.035","1.235658",""
"2017-01-22 24","36333.995","1.17653",""
"2017-01-23 01","33828.753","1.082021",""
"2017-01-23 02","31251.338","0.999582",""
"2017-01-23 03","29117.711","0.867968",""
"2017-01-23 04","27945.226","0.807216",""
"2017-01-23 05","27569.523","0.796364",""
"2017-01-23 06","27671.221","0.848573",""
"2017-01-23 07","30082.59","0.962199",""
"2017-01-23 08","33183.734","1.061391",""
"2017-01-23 09","40139.899","1.371242",""
"2017-01-23 10","46816.344","1.59932",""
"2017-01-23 11","51267.761","1.751388",""
"2017-01-23 12","53365.686","1.823056",""
"2017-01-23 13","54222.078","1.852312",""
"2017-01-23 14","54587.392","1.864792",""
"2017-01-23 15","57308.336","1.957744",""
"2017-01-23 16","57067.6","1.94952",""
"2017-01-23 17","56678.242","1.936218",""
"2017-01-23 18","51757.822","1.768129",""
"2017-01-23 19","47238.07","1.613727",""
"2017-01-23 20","44482.828","1.519603",""
"2017-01-23 21","43549.435","1.487718",""
"2017-01-23 22","45107.886","1.558806",""
"2017-01-23 23","43172.311","1.503306",""
"2017-01-23 24","40931.738","1.406391",""
"2017-01-24 01","37045.367","1.223996",""
"2017-01-24 02","34340.29","1.134618",""
"2017-01-24 03","31915.99","1.039785",""
"2017-01-24 04","30477.647","0.978855",""
"2017-01-24 05","29825.891","0.957922",""
"2017-01-24 06","30299.275","0.987114",""
"2017-01-24 07","32810.515","1.084074",""
"2017-01-24 08","34888.036","1.152717",""
"2017-01-24 09","42393.515","1.445434",""
"2017-01-24 10","48757.472","1.662417",""
"2017-01-24 11","52067.519","1.775275",""
"2017-01-24 12","54574.203","1.860742",""
"2017-01-24 13","56055.247","1.911239",""
"2017-01-24 14","55924.539","1.906783",""
"2017-01-24 15","57631.504","1.964982",""
"2017-01-24 16","58426.02","1.992072",""
"2017-01-24 17","57820.494","1.971426",""
"2017-01-24 18","53591.128","1.827223",""
