"item","Demanda","Valor","addValue"
"2017-01-10 12","74828.866","2.825092",""
"2017-01-10 13","78702.278","2.971329",""
"2017-01-10 14","81619.862","3.08148",""
"2017-01-10 15","83023.916","3.134489",""
"2017-01-10 16","82570.386","3.117366",""
"2017-01-10 17","82007.413","3.096111",""
"2017-01-10 18","80720.187","3.047513",""
"2017-01-10 19","78465.219","2.951837",""
"2017-01-10 20","75190.251","2.828634",""
"2017-01-10 21","76295.719","2.870221",""
"2017-01-10 22","84637.117","3.184021",""
"2017-01-10 23","82725.882","3.112122",""
"2017-01-10 24","74490.457","2.802307",""
"2017-01-11 01","64203.282","2.337672",""
"2017-01-11 02","55082.326","1.916766",""
"2017-01-11 03","49585.207","1.688835",""
"2017-01-11 04","46284.923","1.57643",""
"2017-01-11 05","44804.386","1.489885",""
"2017-01-11 06","44851.388","1.5035",""
"2017-01-11 07","47339.821","1.618719",""
"2017-01-11 08","51732.179","1.862742",""
"2017-01-11 09","59578.686","2.249336",""
"2017-01-11 10","65488.817","2.472467",""
"2017-01-11 11","71241.704","2.689662",""
"2017-01-11 12","75623.79","2.855103",""
"2017-01-11 13","79607.166","3.005492",""
"2017-01-11 14","82455.438","3.113026",""
"2017-01-11 15","83199.137","3.141104",""
"2017-01-11 16","83324.79","3.145847",""
"2017-01-11 17","83241.465","3.142702",""
"2017-01-11 18","82572.552","3.117448",""
"2017-01-11 19","80297.354","3.020761",""
"2017-01-11 20","79275.038","4.276407",""
"2017-01-11 21","79456.997","5.022835",""
"2017-01-11 22","87262.213","3.282777",""
"2017-01-11 23","85249.887","3.207073",""
"2017-01-11 24","76930.022","2.894083",""
"2017-01-12 01","67129.293","2.448718",""
"2017-01-12 02","57725.997","2.105709",""
"2017-01-12 03","51154.96","1.831648",""
"2017-01-12 04","48031.835","1.703688",""
"2017-01-12 05","46435.451","1.647065",""
"2017-01-12 06","46638.128","1.666786",""
"2017-01-12 07","48973.917","1.786453",""
"2017-01-12 08","52411.401","2.04916",""
"2017-01-12 09","59705.893","2.314302",""
"2017-01-12 10","65800.955","2.550558",""
"2017-01-12 11","72002.318","2.790933",""
"2017-01-12 12","77105.219","3.092325",""
"2017-01-12 13","81531.076","4.255703",""
"2017-01-12 14","84580.735","4.414887",""
"2017-01-12 15","84788.737","4.425744",""
"2017-01-12 16","85065.811","4.440206",""
"2017-01-12 17","84824.023","4.427586",""
"2017-01-12 18","83117.757","4.338523",""
"2017-01-12 19","81362.239","4.241424",""
"2017-01-12 20","79946.346","4.167614",""
"2017-01-12 21","80391.806","4.190836",""
"2017-01-12 22","87875.811","4.580977",""
"2017-01-12 23","86005.939","4.4835",""
"2017-01-12 24","78552.187","3.968289",""
"2017-01-13 01","69128.044","2.372707",""
"2017-01-13 02","59485.206","2.041732",""
"2017-01-13 03","52857.626","1.814251",""
"2017-01-13 04","49260.378","1.690781",""
"2017-01-13 05","47763.249","1.639395",""
"2017-01-13 06","47671.372","1.636241",""
"2017-01-13 07","49774.018","1.708412",""
"2017-01-13 08","53297.663","1.829355",""
"2017-01-13 09","60299.665","2.174994",""
"2017-01-13 10","68069","2.455232",""
"2017-01-13 11","75294.498","2.715854",""
"2017-01-13 12","79999.308","2.885555",""
"2017-01-13 13","84273.417","3.039721",""
"2017-01-13 14","86834.596","3.132102",""
"2017-01-13 15","87409.22","3.152829",""
"2017-01-13 16","86852.197","3.132737",""
"2017-01-13 17","86221.626","3.109992",""
"2017-01-13 18","84092.033","3.033178",""
"2017-01-13 19","81620.911","2.949528",""
"2017-01-13 20","80304.006","2.90194",""
"2017-01-13 21","79456.938","2.871329",""
"2017-01-13 22","85691.755","3.096636",""
"2017-01-13 23","84582.881","3.056564",""
"2017-01-13 24","77352.763","2.79529",""
"2017-01-14 01","69514.08","2.376618",""
"2017-01-14 02","61581.823","2.093013",""
"2017-01-14 03","55180.745","1.753144",""
"2017-01-14 04","50854.946","1.444916",""
"2017-01-14 05","48382.984","1.374681",""
"2017-01-14 06","47274.934","1.343199",""
"2017-01-14 07","46256.707","1.314268",""
"2017-01-14 08","45529.928","1.461819",""
"2017-01-14 09","51669.573","1.825532",""
"2017-01-14 10","59374.192","2.097743",""
"2017-01-14 11","67299.708","2.377759",""
"2017-01-14 12","71861.858","2.538944",""
"2017-01-14 13","75515.784","2.668039",""
"2017-01-14 14","78891.096","2.787293",""
"2017-01-14 15","79136.489","2.795962",""
"2017-01-14 16","76667.858","2.708744",""
"2017-01-14 17","74460.221","2.630746",""
