"item","Demanda","Valor","addValue"
"2017-01-13 12","121272.378","4.309099",""
"2017-01-13 13","124334.34","4.417897",""
"2017-01-13 14","125531.097","4.460421",""
"2017-01-13 15","125946.812","4.475192",""
"2017-01-13 16","125968.29","4.475955",""
"2017-01-13 17","123111.355","4.374442",""
"2017-01-13 18","115571.578","4.106535",""
"2017-01-13 19","103896.262","3.670748",""
"2017-01-13 20","92552.211","3.269952",""
"2017-01-13 21","81350.066","2.874171",""
"2017-01-13 22","75408.238","2.66424",""
"2017-01-13 23","69510.004","2.45585",""
"2017-01-13 24","64109.005","2.265028",""
"2017-01-14 01","59322.796","2.000296",""
"2017-01-14 02","55927.317","1.878291",""
"2017-01-14 03","53272.697","1.671053",""
"2017-01-14 04","51774.568","1.453656",""
"2017-01-14 05","50465.562","1.416904",""
"2017-01-14 06","49550.242","1.391205",""
"2017-01-14 07","49265.627","1.383213",""
"2017-01-14 08","51330.235","1.63081",""
"2017-01-14 09","59138.92","2.065598",""
"2017-01-14 10","68286.378","2.385098",""
"2017-01-14 11","75657.668","2.642562",""
"2017-01-14 12","79447.731","2.774941",""
"2017-01-14 13","80829.644","2.823208",""
"2017-01-14 14","80281.144","2.80405",""
"2017-01-14 15","77124.195","2.693784",""
"2017-01-14 16","73397.148","2.563607",""
"2017-01-14 17","70625.945","2.466815",""
"2017-01-14 18","68390.162","2.388723",""
"2017-01-14 19","66046.078","2.302413",""
"2017-01-14 20","64671.602","2.254498",""
"2017-01-14 21","62851.771","2.191057",""
"2017-01-14 22","63337.677","2.207996",""
"2017-01-14 23","61623.899","2.148253",""
"2017-01-14 24","58391.064","2.035554",""
"2017-01-15 01","54896.097","1.826423",""
"2017-01-15 02","51949.107","1.430025",""
"2017-01-15 03","49806.279","0.986359",""
"2017-01-15 04","48363.6","0.957788",""
"2017-01-15 05","47378.273","0.938275",""
"2017-01-15 06","46733.431","0.925504",""
"2017-01-15 07","45992.635","0.910833",""
"2017-01-15 08","45265.991","0.292838",""
"2017-01-15 09","47889.73","0.765046",""
"2017-01-15 10","52042.249","1.645588",""
"2017-01-15 11","55531.01","1.766901",""
"2017-01-15 12","58857.778","1.915491",""
"2017-01-15 13","60360.754","1.964405",""
"2017-01-15 14","61576.585","2.003973",""
"2017-01-15 15","61919.517","2.002871",""
"2017-01-15 16","61272.108","1.949573",""
"2017-01-15 17","60961.313","1.939683",""
"2017-01-15 18","60546.939","1.926499",""
"2017-01-15 19","59585.171","1.91163",""
"2017-01-15 20","59054.417","1.859517",""
"2017-01-15 21","58417.539","1.87417",""
"2017-01-15 22","60591.874","2.191918",""
"2017-01-15 23","59834.973","2.164538",""
"2017-01-15 24","56883.504","2.057767",""
"2017-01-16 01","53535.622","1.76349",""
"2017-01-16 02","50769.25","1.350627",""
"2017-01-16 03","48819.324","1.211739",""
"2017-01-16 04","47659.837","1.18296",""
"2017-01-16 05","47054.798","1.174154",""
"2017-01-16 06","47610.638","1.395456",""
"2017-01-16 07","51139.525","1.613668",""
"2017-01-16 08","63497.479","2.183854",""
"2017-01-16 09","83490.34","3.102945",""
"2017-01-16 10","98996.997","3.679255",""
"2017-01-16 11","107932.909","4.011362",""
"2017-01-16 12","113306.263","4.211064",""
"2017-01-16 13","116366.103","4.324784",""
"2017-01-16 14","118464.213","4.40276",""
"2017-01-16 15","120291.777","4.470682",""
"2017-01-16 16","121760.379","4.525263",""
"2017-01-16 17","121338.404","4.50958",""
"2017-01-16 18","117395.01","4.363023",""
"2017-01-16 19","105172.814","3.88101",""
"2017-01-16 20","90893.13","3.354072",""
"2017-01-16 21","79388.827","2.929548",""
"2017-01-16 22","74023.47","2.73156",""
"2017-01-16 23","68117.181","2.513611",""
"2017-01-16 24","62124.296","2.292466",""
"2017-01-17 01","57577.834","2.022072",""
"2017-01-17 02","53922.8","1.89371",""
"2017-01-17 03","51222.177","1.77858",""
"2017-01-17 04","49845.909","1.618915",""
"2017-01-17 05","49390.185","1.73453",""
"2017-01-17 06","49455.339","1.736818",""
"2017-01-17 07","53055.898","1.863265",""
"2017-01-17 08","65985.816","2.317351",""
"2017-01-17 09","86859.33","3.199485",""
"2017-01-17 10","102207.257","3.76483",""
"2017-01-17 11","110898.766","4.084984",""
"2017-01-17 12","115466.231","4.253227",""
"2017-01-17 13","118988.789","4.382982",""
"2017-01-17 14","121228.119","4.465468",""
"2017-01-17 15","122614.718","4.516543",""
"2017-01-17 16","124290.108","4.578257",""
"2017-01-17 17","123903.432","4.564014",""
"2017-01-17 18","120554.508","4.440656",""
"2017-01-17 19","109011.414","3.979483",""
"2017-01-17 20","96223.185","3.512646",""
"2017-01-17 21","83714.878","3.056027",""
"2017-01-17 22","77820.063","2.840836",""
"2017-01-17 23","71572.888","2.612782",""
"2017-01-17 24","65790.718","2.39736",""
"2017-01-18 01","60558.734","2.046804",""
"2017-01-18 02","56396.976","1.634368",""
"2017-01-18 03","53403.747","1.452441",""
"2017-01-18 04","51844.123","1.341575",""
"2017-01-18 05","50852.533","1.285704",""
"2017-01-18 06","50729.361","1.232357",""
"2017-01-18 07","54751.765","1.481875",""
"2017-01-18 08","67764.13","2.039831",""
"2017-01-18 09","88440.419","2.930786",""
"2017-01-18 10","103889.496","3.758215",""
"2017-01-18 11","112874.137","4.150296",""
"2017-01-18 12","118363.816","4.352148",""
"2017-01-18 13","121979.047","4.485077",""
"2017-01-18 14","124663.721","4.58379",""
"2017-01-18 15","126223.973","4.64116",""
"2017-01-18 16","127849.16","4.700916",""
"2017-01-18 17","127053.896","4.671675",""
"2017-01-18 18","123051.868","4.524523",""
"2017-01-18 19","110977.489","4.051254",""
"2017-01-18 20","96067.966","3.50698",""
"2017-01-18 21","82692.319","3.018699",""
"2017-01-18 22","76374.328","2.78806",""
"2017-01-18 23","70306.872","2.566566",""
"2017-01-18 24","64448.001","2.352687",""
"2017-01-19 01","59652.776","1.976806",""
"2017-01-19 02","55858.118","1.751497",""
"2017-01-19 03","53181.107","1.516599",""
"2017-01-19 04","51753.113","1.465627",""
"2017-01-19 05","50807.372","1.341579",""
"2017-01-19 06","50899.832","1.515383",""
"2017-01-19 07","54320.145","1.721201",""
"2017-01-19 08","67899.171","2.151469",""
"2017-01-19 09","88815.277","3.072192",""
"2017-01-19 10","103238.029","3.795984",""
"2017-01-19 11","111574.581","4.102512",""
"2017-01-19 12","116808.944","4.294976",""
"2017-01-19 13","120209.233","4.420002",""
"2017-01-19 14","122782.9","4.514634",""
"2017-01-19 15","124767.554","4.587608",""
"2017-01-19 16","126924.598","4.666921",""
"2017-01-19 17","126574.387","4.654044",""
"2017-01-19 18","122737.571","4.512967",""
"2017-01-19 19","111673.126","4.076649",""
"2017-01-19 20","97121.173","3.545427",""
"2017-01-19 21","84190.196","3.07338",""
"2017-01-19 22","78567.645","2.868127",""
"2017-01-19 23","71473.249","2.609144",""
"2017-01-19 24","65583.318","2.394132",""
"2017-01-20 01","60743.73","1.921183",""
"2017-01-20 02","56936.703","1.800776",""
"2017-01-20 03","54012.181","1.70828",""
"2017-01-20 04","52774.872","1.669147",""
"2017-01-20 05","51673.857","1.634324",""
"2017-01-20 06","51837.197","1.63949",""
"2017-01-20 07","55695.005","1.761503",""
"2017-01-20 08","68941.166","2.180449",""
"2017-01-20 09","89885.239","2.961315",""
"2017-01-20 10","105700.247","3.510206",""
"2017-01-20 11","114971.298","4.09081",""
"2017-01-20 12","119540.428","4.253384",""
"2017-01-20 13","123362.063","4.389362",""
"2017-01-20 14","125724.946","4.473437",""
"2017-01-20 15","126570.498","4.503522",""
"2017-01-20 16","127345.309","4.531091",""
"2017-01-20 17","124362.189","4.424948",""
"2017-01-20 18","116858.885","4.127173",""
"2017-01-20 19","106330.835","3.482104",""
"2017-01-20 20","94293.754","3.087915",""
"2017-01-20 21","82459.872","2.700382",""
"2017-01-20 22","76701.183","2.617929",""
"2017-01-20 23","70588.432","2.479059",""
"2017-01-20 24","65483.041","2.299758",""
"2017-01-21 01","60688.969","2.135498",""
"2017-01-21 02","57186.203","2.012244",""
"2017-01-21 03","54695.827","1.74768",""
"2017-01-21 04","53056.532","1.6953",""
"2017-01-21 05","51871.242","1.647154",""
"2017-01-21 06","50825.014","1.60722",""
"2017-01-21 07","51028.456","1.556385",""
"2017-01-21 08","53061.33","1.537818",""
"2017-01-21 09","60052.708","1.958492",""
"2017-01-21 10","68827.93","2.244677",""
"2017-01-21 11","76549.327","2.496495",""
"2017-01-21 12","80312.334","2.619217",""
"2017-01-21 13","82349.685","2.685661",""
"2017-01-21 14","82151.788","2.679207",""
"2017-01-21 15","78981.83","2.575826",""
"2017-01-21 16","75508.982","2.462566",""
"2017-01-21 17","73025.881","2.381585",""
"2017-01-21 18","71149.788","2.3204",""
"2017-01-21 19","69201.921","2.261444",""
"2017-01-21 20","67413.171","2.202989",""
"2017-01-21 21","65632.77","2.14914",""
"2017-01-21 22","65406.37","2.327401",""
"2017-01-21 23","63314.447","2.252962",""
"2017-01-21 24","60379.504","2.148526",""
"2017-01-22 01","56825.032","1.79133",""
"2017-01-22 02","54084.69","1.704945",""
"2017-01-22 03","52059.335","1.641099",""
"2017-01-22 04","50483.413","1.59142",""
"2017-01-22 05","49119.336","1.425323",""
"2017-01-22 06","48382.989","1.030632",""
"2017-01-22 07","48005.159","0.487547",""
"2017-01-22 08","47655.078","0.07857",""
"2017-01-22 09","50296.659","0.368188",""
"2017-01-22 10","53865.336","1.39608",""
"2017-01-22 11","57501.629","1.550999",""
"2017-01-22 12","60442.03","1.873463",""
"2017-01-22 13","62508.966","1.995244",""
"2017-01-22 14","63716.574","2.03379",""
"2017-01-22 15","64045.342","2.044283",""
"2017-01-22 16","63632.463","2.031105",""
"2017-01-22 17","63490.647","2.026578",""
"2017-01-22 18","62766.581","2.003467",""
"2017-01-22 19","62095.274","1.986135",""
"2017-01-22 20","61389.435","1.963557",""
"2017-01-22 21","60667.487","1.940466",""
"2017-01-22 22","62759.637","2.007384",""
"2017-01-22 23","62093.696","1.986083",""
"2017-01-22 24","59027.704","1.888017",""
"2017-01-23 01","55835.888","1.763832",""
"2017-01-23 02","52495.636","1.658314",""
"2017-01-23 03","50293.849","1.482622",""
"2017-01-23 04","49377.424","1.410018",""
"2017-01-23 05","48956.09","1.397986",""
"2017-01-23 06","49386.263","1.498208",""
"2017-01-23 07","53054.805","1.675979",""
"2017-01-23 08","65964.946","2.083804",""
"2017-01-23 09","86183.212","2.915737",""
"2017-01-23 10","101856.189","3.445982",""
"2017-01-23 11","110907.603","3.752208",""
"2017-01-23 12","115493.431","3.907355",""
"2017-01-23 13","118371.896","4.00474",""
"2017-01-23 14","119777.26","4.052285",""
"2017-01-23 15","121506.989","4.110805",""
"2017-01-23 16","122667.523","4.150068",""
"2017-01-23 17","122217.48","4.134842",""
"2017-01-23 18","118908.345","4.022888",""
"2017-01-23 19","106728.907","3.596757",""
"2017-01-23 20","91344.508","3.078305",""
"2017-01-23 21","79149.727","2.667341",""
"2017-01-23 22","73896.623","2.519552",""
"2017-01-23 23","67561.105","2.321361",""
"2017-01-23 24","62023.502","2.10246",""
"2017-01-24 01","57356.622","1.872393",""
"2017-01-24 02","53696.171","1.752899",""
"2017-01-24 03","51085.227","1.640712",""
"2017-01-24 04","49852.754","1.581403",""
"2017-01-24 05","49140.862","1.558821",""
"2017-01-24 06","49532.085","1.594097",""
"2017-01-24 07","53490.481","1.746184",""
"2017-01-24 08","66308.356","2.16462",""
"2017-01-24 09","86430.333","2.924097",""
"2017-01-24 10","101672.286","3.43976",""
"2017-01-24 11","109955.49","3.719997",""
"2017-01-24 12","114886.502","3.886822",""
"2017-01-24 13","118031.24","3.993214",""
"2017-01-24 14","120513.111","4.07718",""
"2017-01-24 15","122237.251","4.135511",""
"2017-01-24 16","124496.995","4.211962",""
"2017-01-24 17","124101.528","4.198583",""
"2017-01-24 18","120308.808","4.070268",""
"2017-01-24 19","109406.669","3.679783",""
