"item","Demanda","Valor","addValue"
"2017-01-12 12","84939.957","3.395127",""
"2017-01-12 13","87411.179","4.545011",""
"2017-01-12 14","88578.941","4.60573",""
"2017-01-12 15","88236.705","4.587935",""
"2017-01-12 16","88864.937","4.620601",""
"2017-01-12 17","89105.36","4.633102",""
"2017-01-12 18","86543.314","4.499887",""
"2017-01-12 19","80379.993","4.15242",""
"2017-01-12 20","70331.962","3.633341",""
"2017-01-12 21","61813.675","3.193287",""
"2017-01-12 22","57257.314","2.957905",""
"2017-01-12 23","52750.322","2.725075",""
"2017-01-12 24","48334.69","2.415788",""
"2017-01-13 01","44122.693","1.508512",""
"2017-01-13 02","40356.714","1.379757",""
"2017-01-13 03","38506.854","1.316512",""
"2017-01-13 04","36825.679","1.259034",""
"2017-01-13 05","36187.545","1.237217",""
"2017-01-13 06","36149.858","1.235928",""
"2017-01-13 07","39321.014","1.344347",""
"2017-01-13 08","51361.771","1.756008",""
"2017-01-13 09","65876.267","2.362866",""
"2017-01-13 10","75869.816","2.721317",""
"2017-01-13 11","84183.814","3.019527",""
"2017-01-13 12","87976.477","3.155563",""
"2017-01-13 13","89634.841","3.215045",""
"2017-01-13 14","90885.518","3.259905",""
"2017-01-13 15","89856.293","3.222988",""
"2017-01-13 16","89459.297","3.208748",""
"2017-01-13 17","87384.254","3.134321",""
"2017-01-13 18","83522.522","2.995807",""
"2017-01-13 19","75601.566","2.70154",""
"2017-01-13 20","67295.447","2.404729",""
"2017-01-13 21","59166.779","2.11426",""
"2017-01-13 22","55254.216","1.974449",""
"2017-01-13 23","50669.968","1.810636",""
"2017-01-13 24","46335.211","1.655738",""
"2017-01-14 01","42846.647","1.456251",""
"2017-01-14 02","39304.336","1.330577",""
"2017-01-14 03","37887.064","1.196073",""
"2017-01-14 04","36127.095","1.021607",""
"2017-01-14 05","35071.196","0.991748",""
"2017-01-14 06","34149.773","0.965693",""
"2017-01-14 07","34385.587","0.97236",""
"2017-01-14 08","35089.954","1.121912",""
"2017-01-14 09","40657.772","1.428283",""
"2017-01-14 10","47271.546","1.660621",""
"2017-01-14 11","54178.829","1.90327",""
"2017-01-14 12","57700.687","2.02699",""
"2017-01-14 13","58849.577","2.06735",""
"2017-01-14 14","59498.401","2.090143",""
"2017-01-14 15","58026.434","2.038434",""
"2017-01-14 16","56084.748","1.970223",""
"2017-01-14 17","54492.484","1.914288",""
"2017-01-14 18","53192.985","1.868637",""
"2017-01-14 19","51763.33","1.821891",""
"2017-01-14 20","50537.192","1.778736",""
"2017-01-14 21","48711.829","1.714489",""
"2017-01-14 22","47806.297","1.682618",""
"2017-01-14 23","45052.843","1.585705",""
"2017-01-14 24","42436.399","1.493616",""
"2017-01-15 01","39441.061","1.320037",""
"2017-01-15 02","37113.209","1.028981",""
"2017-01-15 03","35090.306","0.699558",""
"2017-01-15 04","33884.359","0.675516",""
"2017-01-15 05","33083","0.65954",""
"2017-01-15 06","32834.326","0.654582",""
"2017-01-15 07","32316.85","0.644266",""
"2017-01-15 08","31905.678","0.206406",""
"2017-01-15 09","33989.464","0.545231",""
"2017-01-15 10","38365.909","1.220737",""
"2017-01-15 11","44114.277","1.412377",""
"2017-01-15 12","48035.68","1.572806",""
"2017-01-15 13","49467.827","1.619698",""
"2017-01-15 14","50558.172","1.655398",""
"2017-01-15 15","50817.155","1.653815",""
"2017-01-15 16","50241.589","1.60855",""
"2017-01-15 17","49994.509","1.60064",""
"2017-01-15 18","49301.548","1.578454",""
"2017-01-15 19","48347.581","1.56706",""
"2017-01-15 20","47390.22","1.507875",""
