"item","Demanda","Valor","addValue"
"2017-01-09 10","56421.181","2.054322",""
"2017-01-09 11","60624.404","2.207364",""
"2017-01-09 12","62829.885","2.287666",""
"2017-01-09 13","64141.637","2.335428",""
"2017-01-09 14","65457.719","2.383347",""
"2017-01-09 15","67472.231","2.456696",""
"2017-01-09 16","69342.287","2.524786",""
"2017-01-09 17","69270.04","2.522155",""
"2017-01-09 18","67509.071","2.458038",""
"2017-01-09 19","62696.304","2.274379",""
"2017-01-09 20","56025.386","2.032384",""
"2017-01-09 21","51294.21","1.860755",""
"2017-01-09 22","48296.439","1.752008",""
"2017-01-09 23","44376.826","1.609819",""
"2017-01-09 24","41306.69","1.498446",""
"2017-01-10 01","37685.296","1.351886",""
"2017-01-10 02","35059.297","1.205869",""
"2017-01-10 03","33581.461","1.07157",""
"2017-01-10 04","32838.765","0.922126",""
"2017-01-10 05","32619.967","0.962",""
"2017-01-10 06","32800.373","1.108342",""
"2017-01-10 07","34691.905","1.186241",""
"2017-01-10 08","42352.041","1.519297",""
"2017-01-10 09","51660.425","1.912214",""
"2017-01-10 10","59369.241","2.197557",""
"2017-01-10 11","64832.729","2.399789",""
"2017-01-10 12","68064.041","2.519396",""
"2017-01-10 13","70463.3","2.608205",""
"2017-01-10 14","71512.662","2.647047",""
"2017-01-10 15","72132.632","2.669995",""
"2017-01-10 16","73201.128","2.709545",""
"2017-01-10 17","72840.334","2.696191",""
"2017-01-10 18","70771.664","2.619618",""
"2017-01-10 19","64928.172","2.381513",""
"2017-01-10 20","57050.83","2.092578",""
"2017-01-10 21","51154.668","1.876312",""
"2017-01-10 22","47462.192","1.740875",""
"2017-01-10 23","43909.867","1.610578",""
"2017-01-10 24","41089.16","1.507117",""
"2017-01-11 01","37721.13","1.353172",""
"2017-01-11 02","34871.683","1.197074",""
"2017-01-11 03","33431.054","1.122916",""
"2017-01-11 04","32576.421","1.094209",""
"2017-01-11 05","32296.284","1.058764",""
"2017-01-11 06","32371.141","1.069918",""
"2017-01-11 07","34363.496","1.158853",""
"2017-01-11 08","41028.625","1.455285",""
"2017-01-11 09","51326.576","1.899857",""
"2017-01-11 10","59108.179","2.187894",""
"2017-01-11 11","64693.742","2.394644",""
"2017-01-11 12","67884.389","2.512746",""
"2017-01-11 13","70263.666","2.600816",""
"2017-01-11 14","71614.998","2.650835",""
"2017-01-11 15","72836.666","2.696055",""
"2017-01-11 16","73589.649","2.723927",""
"2017-01-11 17","73364.433","2.71559",""
"2017-01-11 18","72010.663","2.66548",""
"2017-01-11 19","66449.592","2.437317",""
"2017-01-11 20","58788.562","3.0923",""
"2017-01-11 21","52305.445","3.222132",""
"2017-01-11 22","49037.216","1.798645",""
"2017-01-11 23","45086.284","1.653729",""
"2017-01-11 24","41747.177","1.531253",""
"2017-01-12 01","38759.951","1.393041",""
"2017-01-12 02","36293.442","1.304395",""
"2017-01-12 03","34563.609","1.219005",""
"2017-01-12 04","33711.949","1.17991",""
"2017-01-12 05","33500.413","1.172506",""
"2017-01-12 06","33576.851","1.181948",""
"2017-01-12 07","35375.968","1.271421",""
"2017-01-12 08","42082.93","1.619897",""
"2017-01-12 09","52574.843","1.99904",""
"2017-01-12 10","61186.277","2.326471",""
