"item","Demanda","Valor","addValue"
"2017-01-09 18","58706.677","2.157257",""
"2017-01-09 19","57433.442","2.110471",""
"2017-01-09 20","56576.288","2.078973",""
"2017-01-09 21","57587.546","2.116133",""
"2017-01-09 22","59532.898","2.187618",""
"2017-01-09 23","55407.017","2.036006",""
"2017-01-09 24","49793.939","1.829746",""
"2017-01-10 01","42934.88","1.548858",""
"2017-01-10 02","36336.169","1.25711",""
"2017-01-10 03","32928.072","1.057356",""
"2017-01-10 04","30888.624","0.871515",""
"2017-01-10 05","30220.59","0.89733",""
"2017-01-10 06","30346.46","1.031539",""
"2017-01-10 07","32616.836","1.121861",""
"2017-01-10 08","34638.139","1.249557",""
"2017-01-10 09","39270.553","1.461517",""
"2017-01-10 10","45895.046","1.708058",""
"2017-01-10 11","51654.7","1.922413",""
"2017-01-10 12","55494.82","2.065329",""
"2017-01-10 13","58582.051","2.180225",""
"2017-01-10 14","60435.125","2.249191",""
"2017-01-10 15","61208.252","2.277964",""
"2017-01-10 16","61134.07","2.275203",""
"2017-01-10 17","60772.102","2.261732",""
"2017-01-10 18","60335.769","2.245493",""
"2017-01-10 19","58457.596","2.16774",""
"2017-01-10 20","57115.982","2.11799",""
"2017-01-10 21","56132.438","2.081518",""
"2017-01-10 22","57959.106","2.149254",""
"2017-01-10 23","55562.901","2.060398",""
"2017-01-10 24","50125.425","1.858764",""
"2017-01-11 01","43232.414","1.562496",""
"2017-01-11 02","36681.062","1.266578",""
"2017-01-11 03","32954.012","1.113533",""
"2017-01-11 04","30852.446","1.04252",""
"2017-01-11 05","29949.779","0.987875",""
"2017-01-11 06","29955.649","0.996119",""
"2017-01-11 07","31861.981","1.080914",""
"2017-01-11 08","34299.279","1.225812",""
"2017-01-11 09","39764.269","1.479891",""
"2017-01-11 10","47368.812","1.762907",""
"2017-01-11 11","52496.762","1.953751",""
"2017-01-11 12","56304.641","2.095468",""
"2017-01-11 13","58590.898","2.180555",""
"2017-01-11 14","61252.687","2.279618",""
"2017-01-11 15","61866.454","2.30246",""
"2017-01-11 16","62574.335","2.328804",""
"2017-01-11 17","62451.994","2.324252",""
"2017-01-11 18","62320.49","2.319357",""
"2017-01-11 19","60784.828","2.254038",""
"2017-01-11 20","60043.649","3.194621",""
"2017-01-11 21","59414.165","3.699959",""
"2017-01-11 22","60947.311","2.260065",""
"2017-01-11 23","57950.93","2.148952",""
"2017-01-11 24","52360.843","1.941658",""
"2017-01-12 01","45535.418","1.64573",""
"2017-01-12 02","39070.624","1.412081",""
"2017-01-12 03","34770.402","1.235641",""
"2017-01-12 04","32646.394","1.149195",""
"2017-01-12 05","31716.088","1.116447",""
"2017-01-12 06","31388.818","1.111252",""
"2017-01-12 07","32764.006","1.184149",""
"2017-01-12 08","35296.169","1.36814",""
"2017-01-12 09","40373.562","1.543251",""
"2017-01-12 10","47940.69","1.832498",""
"2017-01-12 11","53440.636","2.04273",""
"2017-01-12 12","57287.815","2.266755",""
"2017-01-12 13","60142.094","3.094813",""
"2017-01-12 14","62740.991","3.228548",""
"2017-01-12 15","63463.108","3.265707",""
"2017-01-12 16","63580.674","3.271756",""
"2017-01-12 17","63613.406","3.273441",""
"2017-01-12 18","63322.469","3.258469",""
"2017-01-12 19","61666.817","3.16913",""
"2017-01-12 20","60455.961","3.106902",""
"2017-01-12 21","59908.688","3.078778",""
"2017-01-12 22","61118.149","3.140934",""
"2017-01-12 23","58140.681","2.987918",""
"2017-01-12 24","52451.557","2.610981",""
"2017-01-13 01","46338.489","1.578042",""
"2017-01-13 02","40027.129","1.363111",""
"2017-01-13 03","35745.156","1.21729",""
"2017-01-13 04","33016.328","1.124361",""
"2017-01-13 05","31927.753","1.087289",""
"2017-01-13 06","31986.888","1.089304",""
"2017-01-13 07","33184.923","1.130102",""
"2017-01-13 08","35597.402","1.212258",""
"2017-01-13 09","41186.431","1.466219",""
"2017-01-13 10","49411.174","1.759016",""
"2017-01-13 11","55550.283","1.977566",""
"2017-01-13 12","59475.19","2.117291",""
"2017-01-13 13","62032.445","2.208329",""
"2017-01-13 14","64376.647","2.291781",""
"2017-01-13 15","65209.061","2.321415",""
"2017-01-13 16","65101.826","2.317597",""
"2017-01-13 17","64732.283","2.304442",""
"2017-01-13 18","63921.268","2.27557",""
"2017-01-13 19","62074.511","2.209826",""
"2017-01-13 20","60986.892","2.171107",""
"2017-01-13 21","59620.032","2.122448",""
"2017-01-13 22","59886.963","2.13195",""
"2017-01-13 23","56938.655","2.026991",""
"2017-01-13 24","51868.724","1.846504",""
"2017-01-14 01","46801.903","1.584394",""
"2017-01-14 02","41657.161","1.404632",""
"2017-01-14 03","37205.533","1.172058",""
"2017-01-14 04","34230.104","0.963366",""
"2017-01-14 05","32777.865","0.922494",""
"2017-01-14 06","31993.461","0.900418",""
"2017-01-14 07","31386.472","0.883335",""
"2017-01-14 08","30803.946","0.980739",""
"2017-01-14 09","36129.297","1.26192",""
"2017-01-14 10","43944.936","1.534904",""
"2017-01-14 11","50284.695","1.756337",""
"2017-01-14 12","54182.347","1.892475",""
"2017-01-14 13","57012.885","1.991339",""
"2017-01-14 14","59726.634","2.086125",""
"2017-01-14 15","60633.258","2.117792",""
"2017-01-14 16","59617.437","2.08231",""
"2017-01-14 17","58383.653","2.039218",""
"2017-01-14 18","57301.757","2.001429",""
"2017-01-14 19","56087.284","1.970312",""
"2017-01-14 20","54891.814","1.928316",""
"2017-01-14 21","53998.127","1.896922",""
"2017-01-14 22","55535.682","1.950935",""
"2017-01-14 23","52403.467","1.840901",""
"2017-01-14 24","48300.288","1.69676",""
"2017-01-15 01","44231.48","1.477445",""
"2017-01-15 02","39674.442","1.097373",""
"2017-01-15 03","35989.387","0.715106",""
"2017-01-15 04","33635.404","0.668332",""
"2017-01-15 05","32761.301","0.650964",""
"2017-01-15 06","32322.362","0.642242",""
"2017-01-15 07","31265.155","0.621235",""
"2017-01-15 08","29050.866","0.187938",""
"2017-01-15 09","32072.063","0.512356",""
"2017-01-15 10","38706.971","1.221368",""
"2017-01-15 11","45439.755","1.442815",""
"2017-01-15 12","49967.639","1.622869",""
"2017-01-15 13","52712.674","1.715503",""
"2017-01-15 14","55738.039","1.813961",""
"2017-01-15 15","57038.242","1.84498",""
"2017-01-15 16","56669.157","1.799374",""
"2017-01-15 17","55740.27","1.769879",""
"2017-01-15 18","55121.931","1.753885",""
"2017-01-15 19","54574.623","1.765291",""
"2017-01-15 20","54161.363","1.719745",""
"2017-01-15 21","53583.591","1.733235",""
"2017-01-15 22","56054.908","2.042595",""
"2017-01-15 23","53340.603","1.943688",""
"2017-01-15 24","49238.745","1.79422",""
"2017-01-16 01","43212.565","1.429148",""
"2017-01-16 02","37322.01","0.997814",""
"2017-01-16 03","33566.477","0.837581",""
"2017-01-16 04","31535.818","0.786911",""
"2017-01-16 05","30087.613","0.754746",""
"2017-01-16 06","29822.755","0.878035",""
"2017-01-16 07","31594.231","1.003188",""
"2017-01-16 08","33668.158","1.164609",""
